Date,Open,High,Low,Close,Adj Close,Volume
2014-08-18,17.650000,17.740000,17.639999,17.690001,13.292341,1081200
2014-08-19,17.709999,17.750000,17.680000,17.709999,13.307367,1121500
2014-08-20,17.590000,17.690001,17.559999,17.650000,13.262283,1406700
2014-08-21,17.760000,17.940001,17.750000,17.940001,13.480191,2049200
2014-08-22,17.740000,17.790001,17.629999,17.680000,13.284825,1769200
2014-08-25,17.780001,17.889999,17.740000,17.850000,13.412564,1895300
2014-08-26,17.930000,18.030001,17.879999,17.959999,13.495217,2581400
2014-08-27,18.090000,18.110001,17.940001,18.020000,13.540303,1599700
2014-08-28,17.860001,17.930000,17.809999,17.930000,13.472676,2110600
2014-08-29,17.889999,18.020000,17.870001,17.940001,13.480191,2508600
2014-09-02,17.770000,17.860001,17.719999,17.850000,13.412564,1739000
2014-09-03,18.110001,18.129999,17.820000,17.870001,13.427593,2014200
2014-09-04,17.959999,18.000000,17.799999,17.840000,13.405050,2565300
2014-09-05,17.780001,17.799999,17.680000,17.760000,13.344939,1577300
2014-09-08,17.639999,17.719999,17.540001,17.610001,13.232227,1448700
2014-09-09,17.559999,17.590000,17.450001,17.530001,13.172116,1228900
2014-09-10,17.559999,17.639999,17.530001,17.610001,13.232227,1060100
2014-09-11,17.500000,17.590000,17.469999,17.549999,13.187142,2269200
2014-09-12,17.570000,17.680000,17.549999,17.660000,13.269798,2110900
2014-09-15,17.480000,17.559999,17.430000,17.510000,13.157088,1642600
2014-09-16,17.430000,17.570000,17.360001,17.549999,13.187142,1386300
2014-09-17,17.590000,17.709999,17.510000,17.580000,13.209685,1722300
2014-09-18,17.740000,17.830000,17.709999,17.760000,13.344939,2317600
2014-09-19,17.709999,17.750000,17.639999,17.680000,13.284825,4136300
2014-09-22,17.510000,17.530001,17.340000,17.389999,13.066916,2347200
2014-09-23,17.389999,17.500000,17.299999,17.299999,12.999291,1932300
2014-09-24,17.370001,17.639999,17.350000,17.620001,13.239742,2921100
2014-09-25,17.570000,17.610001,17.410000,17.420000,13.089460,2537000
2014-09-26,17.600000,17.700001,17.520000,17.650000,13.262283,1863100
2014-09-29,17.590000,17.650000,17.469999,17.530001,13.172116,2593500
2014-09-30,17.340000,17.450001,17.270000,17.370001,13.051890,1973300
2014-10-01,17.410000,17.430000,17.270000,17.330000,13.021835,2072100
2014-10-02,17.290001,17.290001,17.020000,17.200001,12.924151,1976600
2014-10-03,16.790001,16.850000,16.709999,16.799999,12.623589,3254900
2014-10-06,16.889999,16.990000,16.780001,16.900000,12.698730,6175500
2014-10-07,16.680000,16.719999,16.549999,16.549999,12.435740,6092600
2014-10-08,16.610001,16.870001,16.510000,16.840000,12.653646,6281400
2014-10-09,16.549999,16.580000,16.129999,16.180000,12.157719,6007400
2014-10-10,16.180000,16.250000,15.890000,15.910000,11.954841,2657700
2014-10-13,16.139999,16.219999,15.890000,15.900000,11.947326,2357600
2014-10-14,16.010000,16.120001,15.910000,15.960000,11.992411,3162300
2014-10-15,15.650000,15.760000,15.330000,15.710000,11.804558,4547200
2014-10-16,15.050000,15.490000,15.040000,15.390000,11.564108,4482000
2014-10-17,15.730000,15.970000,15.700000,15.840000,11.902242,4676800
2014-10-20,15.910000,16.049999,15.900000,16.049999,12.060036,1888600
2014-10-21,16.270000,16.360001,16.230000,16.340000,12.277944,1872900
2014-10-22,16.370001,16.400000,16.190001,16.190001,12.165235,2129000
2014-10-23,16.379999,16.430000,16.330000,16.340000,12.277944,2336500
2014-10-24,16.370001,16.450001,16.299999,16.450001,12.360600,1754100
2014-10-27,16.110001,16.309999,16.049999,16.230000,12.195290,2274600
2014-10-28,17.070000,17.430000,17.020000,17.389999,13.066916,4023100
2014-10-29,17.280001,17.420000,17.049999,17.120001,12.864038,3109000
2014-10-30,16.900000,17.160000,16.889999,17.090000,12.841497,2921400
2014-10-31,17.240000,17.410000,17.190001,17.379999,13.059404,2097300
2014-11-03,17.320000,17.330000,17.100000,17.170000,12.901608,1340300
2014-11-04,17.170000,17.209999,17.059999,17.150000,12.886582,1379600
2014-11-05,17.250000,17.320000,17.180000,17.230000,12.946693,2167400
2014-11-06,17.309999,17.330000,17.040001,17.100000,12.849011,1967500
2014-11-07,17.030001,17.070000,16.950001,17.059999,12.818955,1324300
2014-11-10,17.150000,17.180000,17.090000,17.110001,12.856526,791400
2014-11-11,17.330000,17.340000,17.240000,17.330000,13.021835,804300
2014-11-12,17.350000,17.459999,17.330000,17.379999,13.059404,764600
2014-11-13,17.480000,17.629999,17.469999,17.540001,13.179629,1067100
2014-11-14,17.379999,17.559999,17.370001,17.540001,13.179629,675200
2014-11-17,17.400000,17.510000,17.309999,17.450001,13.112003,825100
2014-11-18,17.510000,17.590000,17.469999,17.520000,13.164601,504800
